visual_id,panel,claim_supported,source_phase,source_artifact,source_columns_or_keys,frozen_value,transformation_allowed,notes
FIGURE_2_AGENT_CALIBRATION,A,CLAIM_P (screen); S1 boundary,0D;0E,outputs/earlyeval_phase0d_cross_agent_calibration/analysis/calibration_gaps.csv ; outputs/earlyeval_phase0e_prior_shift_decomposition/analysis/corrected_gaps.csv,"calibration_gap (0D); corrected_gap (0E), joined on model_id+head",gpt-5.2-codex/success: raw=-0.0088970831462315 corrected=-0.012765659485714398,transcribe only; point glyphs at exact signed values; zero reference line allowed,
FIGURE_2_AGENT_CALIBRATION,A,CLAIM_P (screen); S1 boundary,0D;0E,outputs/earlyeval_phase0d_cross_agent_calibration/analysis/calibration_gaps.csv ; outputs/earlyeval_phase0e_prior_shift_decomposition/analysis/corrected_gaps.csv,"calibration_gap (0D); corrected_gap (0E), joined on model_id+head",gpt-5.2-high/success: raw=0.012806634773270376 corrected=0.008756605422880148,transcribe only; point glyphs at exact signed values; zero reference line allowed,
FIGURE_2_AGENT_CALIBRATION,A,CLAIM_P (screen); S1 boundary,0D;0E,outputs/earlyeval_phase0d_cross_agent_calibration/analysis/calibration_gaps.csv ; outputs/earlyeval_phase0e_prior_shift_decomposition/analysis/corrected_gaps.csv,"calibration_gap (0D); corrected_gap (0E), joined on model_id+head",minimax-m2.5-high/success: raw=-0.006801281019906069 corrected=-0.004317142923320638,transcribe only; point glyphs at exact signed values; zero reference line allowed,
FIGURE_2_AGENT_CALIBRATION,B,CLAIM_P (screen); S1 boundary,0D;0E,outputs/earlyeval_phase0d_cross_agent_calibration/analysis/calibration_gaps.csv ; outputs/earlyeval_phase0e_prior_shift_decomposition/analysis/corrected_gaps.csv,"calibration_gap (0D); corrected_gap (0E), joined on model_id+head",claude-4.5-haiku-high/failure: raw=-0.018475093624808592 corrected=-0.004259220058520641,transcribe only; point glyphs at exact signed values; zero reference line allowed,
FIGURE_2_AGENT_CALIBRATION,B,CLAIM_P (screen); S1 boundary,0D;0E,outputs/earlyeval_phase0d_cross_agent_calibration/analysis/calibration_gaps.csv ; outputs/earlyeval_phase0e_prior_shift_decomposition/analysis/corrected_gaps.csv,"calibration_gap (0D); corrected_gap (0E), joined on model_id+head",claude-4.5-opus-high/failure: raw=0.11492401068327862 corrected=0.11063216919282925,transcribe only; point glyphs at exact signed values; zero reference line allowed,
FIGURE_2_AGENT_CALIBRATION,B,CLAIM_P (screen); S1 boundary,0D;0E,outputs/earlyeval_phase0d_cross_agent_calibration/analysis/calibration_gaps.csv ; outputs/earlyeval_phase0e_prior_shift_decomposition/analysis/corrected_gaps.csv,"calibration_gap (0D); corrected_gap (0E), joined on model_id+head",claude-opus-4.6/failure: raw=0.11096491464754432 corrected=0.10534916052471854,transcribe only; point glyphs at exact signed values; zero reference line allowed,frozen primary target (highlighted)
FIGURE_2_AGENT_CALIBRATION,B,CLAIM_P (screen); S1 boundary,0D;0E,outputs/earlyeval_phase0d_cross_agent_calibration/analysis/calibration_gaps.csv ; outputs/earlyeval_phase0e_prior_shift_decomposition/analysis/corrected_gaps.csv,"calibration_gap (0D); corrected_gap (0E), joined on model_id+head",gemini-3-flash-high/failure: raw=-0.043506622314453125 corrected=-0.04722806703534288,transcribe only; point glyphs at exact signed values; zero reference line allowed,
FIGURE_2_AGENT_CALIBRATION,B,CLAIM_P (screen); S1 boundary,0D;0E,outputs/earlyeval_phase0d_cross_agent_calibration/analysis/calibration_gaps.csv ; outputs/earlyeval_phase0e_prior_shift_decomposition/analysis/corrected_gaps.csv,"calibration_gap (0D); corrected_gap (0E), joined on model_id+head",gemini-3-pro/failure: raw=0.9582048058509827 corrected=0.0,transcribe only; point glyphs at exact signed values; zero reference line allowed,PRIOR_DEGENERATE: held-out success prior is 0 or 1; oracle odds ratio is inf; corrected probabilities sit on the boundary
FIGURE_2_AGENT_CALIBRATION,B,CLAIM_P (screen); S1 boundary,0D;0E,outputs/earlyeval_phase0d_cross_agent_calibration/analysis/calibration_gaps.csv ; outputs/earlyeval_phase0e_prior_shift_decomposition/analysis/corrected_gaps.csv,"calibration_gap (0D); corrected_gap (0E), joined on model_id+head",glm-5-high/failure: raw=0.04171158870061242 corrected=0.04578261932847538,transcribe only; point glyphs at exact signed values; zero reference line allowed,
FIGURE_2_AGENT_CALIBRATION,B,CLAIM_P (screen); S1 boundary,0D;0E,outputs/earlyeval_phase0d_cross_agent_calibration/analysis/calibration_gaps.csv ; outputs/earlyeval_phase0e_prior_shift_decomposition/analysis/corrected_gaps.csv,"calibration_gap (0D); corrected_gap (0E), joined on model_id+head",gpt-5-mini/failure: raw=-0.0015650666677035074 corrected=0.02247359084803513,transcribe only; point glyphs at exact signed values; zero reference line allowed,
FIGURE_2_AGENT_CALIBRATION,B,CLAIM_P (screen); S1 boundary,0D;0E,outputs/earlyeval_phase0d_cross_agent_calibration/analysis/calibration_gaps.csv ; outputs/earlyeval_phase0e_prior_shift_decomposition/analysis/corrected_gaps.csv,"calibration_gap (0D); corrected_gap (0E), joined on model_id+head",gpt-5.2-codex/failure: raw=-0.019873435082642943 corrected=-0.015805306908378003,transcribe only; point glyphs at exact signed values; zero reference line allowed,
FIGURE_2_AGENT_CALIBRATION,B,CLAIM_P (screen); S1 boundary,0D;0E,outputs/earlyeval_phase0d_cross_agent_calibration/analysis/calibration_gaps.csv ; outputs/earlyeval_phase0e_prior_shift_decomposition/analysis/corrected_gaps.csv,"calibration_gap (0D); corrected_gap (0E), joined on model_id+head",gpt-5.2-high/failure: raw=0.03994845216338694 corrected=0.0439708096776904,transcribe only; point glyphs at exact signed values; zero reference line allowed,
FIGURE_2_AGENT_CALIBRATION,B,CLAIM_P (screen); S1 boundary,0D;0E,outputs/earlyeval_phase0d_cross_agent_calibration/analysis/calibration_gaps.csv ; outputs/earlyeval_phase0e_prior_shift_decomposition/analysis/corrected_gaps.csv,"calibration_gap (0D); corrected_gap (0E), joined on model_id+head",minimax-m2.5-high/failure: raw=0.06015623227143896 corrected=0.05732866070230758,transcribe only; point glyphs at exact signed values; zero reference line allowed,
FIGURE_3_TARGET_PERSISTENCE,A,CLAIM_P; S2; S3,1A;1A-D,outputs/earlyeval_phase1a_d_target_persistence/analysis/target_occurrences.csv,"signed_corrected_gap keyed by (scope,target,head,pair_id,partner_agent)",pair-0006 partner=claude-4.5-haiku-high gap=0.13970622125090737 n_decisions=269,transcribe only; one glyph per eligible occurrence,plotted
FIGURE_3_TARGET_PERSISTENCE,A,CLAIM_P; S2; S3,1A;1A-D,outputs/earlyeval_phase1a_d_target_persistence/analysis/target_occurrences.csv,"signed_corrected_gap keyed by (scope,target,head,pair_id,partner_agent)",pair-0106 partner=claude-4.5-opus-high gap=0.1321269532027739 n_decisions=223,transcribe only; one glyph per eligible occurrence,plotted
FIGURE_3_TARGET_PERSISTENCE,A,CLAIM_P; S2; S3,1A;1A-D,outputs/earlyeval_phase1a_d_target_persistence/analysis/target_occurrences.csv,"signed_corrected_gap keyed by (scope,target,head,pair_id,partner_agent)",pair-0206 partner=claude-opus-4.6 gap=0.13459457460989155 n_decisions=206,transcribe only; one glyph per eligible occurrence,plotted
FIGURE_3_TARGET_PERSISTENCE,A,CLAIM_P; S2; S3,1A;1A-D,outputs/earlyeval_phase1a_d_target_persistence/analysis/target_occurrences.csv,"signed_corrected_gap keyed by (scope,target,head,pair_id,partner_agent)",pair-0306 partner=gemini-3-flash-high gap=0.1377462284504496 n_decisions=206,transcribe only; one glyph per eligible occurrence,plotted
FIGURE_3_TARGET_PERSISTENCE,A,CLAIM_P; S2; S3,1A;1A-D,outputs/earlyeval_phase1a_d_target_persistence/analysis/target_occurrences.csv,"signed_corrected_gap keyed by (scope,target,head,pair_id,partner_agent)",pair-0406 partner=gemini-3-pro gap=0.11734626800166015 n_decisions=191,transcribe only; one glyph per eligible occurrence,plotted
FIGURE_3_TARGET_PERSISTENCE,A,CLAIM_P; S2; S3,1A;1A-D,outputs/earlyeval_phase1a_d_target_persistence/analysis/target_occurrences.csv,"signed_corrected_gap keyed by (scope,target,head,pair_id,partner_agent)",pair-0506 partner=glm-5-high gap=0.14897354346827263 n_decisions=177,transcribe only; one glyph per eligible occurrence,plotted
FIGURE_3_TARGET_PERSISTENCE,A,CLAIM_P; S2; S3,1A;1A-D,outputs/earlyeval_phase1a_d_target_persistence/analysis/target_occurrences.csv,"signed_corrected_gap keyed by (scope,target,head,pair_id,partner_agent)",pair-0607 partner=gpt-5.2-codex gap=0.1662715328812231 n_decisions=208,transcribe only; one glyph per eligible occurrence,plotted
FIGURE_3_TARGET_PERSISTENCE,A,CLAIM_P; S2; S3,1A;1A-D,outputs/earlyeval_phase1a_d_target_persistence/analysis/target_occurrences.csv,"signed_corrected_gap keyed by (scope,target,head,pair_id,partner_agent)",pair-0608 partner=gpt-5.2-high gap=0.12785281104986934 n_decisions=195,transcribe only; one glyph per eligible occurrence,plotted
FIGURE_3_TARGET_PERSISTENCE,A,CLAIM_P; S2; S3,1A;1A-D,outputs/earlyeval_phase1a_d_target_persistence/analysis/target_occurrences.csv,"signed_corrected_gap keyed by (scope,target,head,pair_id,partner_agent)",pair-0609 partner=minimax-m2.5-high gap=0.14934259457134136 n_decisions=185,transcribe only; one glyph per eligible occurrence,plotted
FIGURE_3_TARGET_PERSISTENCE,B,CLAIM_P; S2; S3,1A;1A-D,outputs/earlyeval_phase1a_d_target_persistence/analysis/target_occurrences.csv,"signed_corrected_gap keyed by (scope,target,head,pair_id,partner_agent)",pair-0002 partner=claude-4.5-haiku-high gap=0.14161996504236674 n_decisions=33,transcribe only; one glyph per eligible occurrence,plotted
FIGURE_3_TARGET_PERSISTENCE,B,CLAIM_P; S2; S3,1A;1A-D,outputs/earlyeval_phase1a_d_target_persistence/analysis/target_occurrences.csv,"signed_corrected_gap keyed by (scope,target,head,pair_id,partner_agent)",pair-0102 partner=claude-4.5-opus-high gap=0.0768836323699027 n_decisions=40,transcribe only; one glyph per eligible occurrence,plotted
FIGURE_3_TARGET_PERSISTENCE,B,CLAIM_P; S2; S3,1A;1A-D,outputs/earlyeval_phase1a_d_target_persistence/analysis/target_occurrences.csv,"signed_corrected_gap keyed by (scope,target,head,pair_id,partner_agent)",pair-0203 partner=gemini-3-flash-high gap=0.15525882888977116 n_decisions=25,transcribe only; one glyph per eligible occurrence,"EXCLUDED: pair_head_eligible_phase1a=False; shown only as an excluded occurrence with the denominator, never as a gap value"
FIGURE_3_TARGET_PERSISTENCE,B,CLAIM_P; S2; S3,1A;1A-D,outputs/earlyeval_phase1a_d_target_persistence/analysis/target_occurrences.csv,"signed_corrected_gap keyed by (scope,target,head,pair_id,partner_agent)",pair-0204 partner=gemini-3-pro gap=0.08251333253652737 n_decisions=37,transcribe only; one glyph per eligible occurrence,plotted
FIGURE_3_TARGET_PERSISTENCE,B,CLAIM_P; S2; S3,1A;1A-D,outputs/earlyeval_phase1a_d_target_persistence/analysis/target_occurrences.csv,"signed_corrected_gap keyed by (scope,target,head,pair_id,partner_agent)",pair-0205 partner=glm-5-high gap=0.04409941729001732 n_decisions=34,transcribe only; one glyph per eligible occurrence,plotted
FIGURE_3_TARGET_PERSISTENCE,B,CLAIM_P; S2; S3,1A;1A-D,outputs/earlyeval_phase1a_d_target_persistence/analysis/target_occurrences.csv,"signed_corrected_gap keyed by (scope,target,head,pair_id,partner_agent)",pair-0206 partner=gpt-5-mini gap=0.1146098607280106 n_decisions=39,transcribe only; one glyph per eligible occurrence,plotted
FIGURE_3_TARGET_PERSISTENCE,B,CLAIM_P; S2; S3,1A;1A-D,outputs/earlyeval_phase1a_d_target_persistence/analysis/target_occurrences.csv,"signed_corrected_gap keyed by (scope,target,head,pair_id,partner_agent)",pair-0207 partner=gpt-5.2-codex gap=0.11039703482593621 n_decisions=32,transcribe only; one glyph per eligible occurrence,plotted
FIGURE_3_TARGET_PERSISTENCE,B,CLAIM_P; S2; S3,1A;1A-D,outputs/earlyeval_phase1a_d_target_persistence/analysis/target_occurrences.csv,"signed_corrected_gap keyed by (scope,target,head,pair_id,partner_agent)",pair-0208 partner=gpt-5.2-high gap=0.12702368893590055 n_decisions=35,transcribe only; one glyph per eligible occurrence,plotted
FIGURE_3_TARGET_PERSISTENCE,B,CLAIM_P; S2; S3,1A;1A-D,outputs/earlyeval_phase1a_d_target_persistence/analysis/target_occurrences.csv,"signed_corrected_gap keyed by (scope,target,head,pair_id,partner_agent)",pair-0209 partner=minimax-m2.5-high gap=0.11107776761037536 n_decisions=39,transcribe only; one glyph per eligible occurrence,plotted
FIGURE_3_TARGET_PERSISTENCE,A,CLAIM_P; S2; S3,1A;1A-D,outputs/earlyeval_phase1a_d_target_persistence/analysis/bootstrap_results.json ; outputs/earlyeval_phase1a_d_target_persistence/analysis/partner_jackknife.csv ; outputs/earlyeval_phase1a_d_target_persistence/analysis/task_half_results.csv,"full_common_support.median_signed_gap (ci_lower,ci_upper,median); partner_jackknife.median_abs_gap (min); task_half_results medians","gpt-5-mini/success: median=0.1377462284504496 CI=[0.11681530181196477,0.15944975771607114] jackknife_min=0.13617040153017057 HALF_A=0.11767970623031776 HALF_B=0.14894173870245364",transcribe only; horizontal overlays only,"no per-fold CI may be drawn; the CI shown is the frozen task-cluster bootstrap, and it belongs to the panel median, not to any single fold"
FIGURE_3_TARGET_PERSISTENCE,B,CLAIM_P; S2; S3,1A;1A-D,outputs/earlyeval_phase1a_d_target_persistence/analysis/bootstrap_results.json ; outputs/earlyeval_phase1a_d_target_persistence/analysis/partner_jackknife.csv ; outputs/earlyeval_phase1a_d_target_persistence/analysis/task_half_results.csv,"full_common_support.median_signed_gap (ci_lower,ci_upper,median); partner_jackknife.median_abs_gap (min); task_half_results medians","claude-opus-4.6/failure: median=0.11073740121815578 CI=[0.05100413519648092,0.14856491377866127] jackknife_min=0.11039703482593621 HALF_A=0.08688594138784889 HALF_B=0.11354561216502507",transcribe only; horizontal overlays only,"no per-fold CI may be drawn; the CI shown is the frozen task-cluster bootstrap, and it belongs to the panel median, not to any single fold"
FIGURE_4_ROBUSTNESS_BOUNDARY,A (SWE thresholds),CLAIM_P; S3,1B,outputs/earlyeval_phase1b_threshold_robustness/analysis/target_threshold_summary.csv ; outputs/earlyeval_phase1b_threshold_robustness/analysis/secondary_descriptives.csv,"median_signed_gap, bootstrap_ci_lower, bootstrap_ci_upper, eligible_folds, min/max head decisions","TARGET_1 gpt-5-mini/success @ 0.9: gap=0.11251243867464988 CI=[0.09536950734306153,0.12678930165704008] folds=9",transcribe only; no interpolation across thresholds,"NOT_EVALUABLE at TARGET_2/0.975: no occurrence clears the 20-decision minimum (eligible_folds=0); must be drawn as a not-evaluable marker, never as zero"
FIGURE_4_ROBUSTNESS_BOUNDARY,A (SWE thresholds),CLAIM_P; S3,1B,outputs/earlyeval_phase1b_threshold_robustness/analysis/target_threshold_summary.csv ; outputs/earlyeval_phase1b_threshold_robustness/analysis/secondary_descriptives.csv,"median_signed_gap, bootstrap_ci_lower, bootstrap_ci_upper, eligible_folds, min/max head decisions","TARGET_2 claude-opus-4.6/failure @ 0.9: gap=0.13744058607047355 CI=[0.0895298488412944,0.16795866354586556] folds=8",transcribe only; no interpolation across thresholds,"NOT_EVALUABLE at TARGET_2/0.975: no occurrence clears the 20-decision minimum (eligible_folds=0); must be drawn as a not-evaluable marker, never as zero"
FIGURE_4_ROBUSTNESS_BOUNDARY,A (SWE thresholds),CLAIM_P; S3,1B,outputs/earlyeval_phase1b_threshold_robustness/analysis/target_threshold_summary.csv ; outputs/earlyeval_phase1b_threshold_robustness/analysis/secondary_descriptives.csv,"median_signed_gap, bootstrap_ci_lower, bootstrap_ci_upper, eligible_folds, min/max head decisions","TARGET_1 gpt-5-mini/success @ 0.925: gap=0.12002521064108551 CI=[0.10194926684304571,0.13653406184120295] folds=9",transcribe only; no interpolation across thresholds,"NOT_EVALUABLE at TARGET_2/0.975: no occurrence clears the 20-decision minimum (eligible_folds=0); must be drawn as a not-evaluable marker, never as zero"
FIGURE_4_ROBUSTNESS_BOUNDARY,A (SWE thresholds),CLAIM_P; S3,1B,outputs/earlyeval_phase1b_threshold_robustness/analysis/target_threshold_summary.csv ; outputs/earlyeval_phase1b_threshold_robustness/analysis/secondary_descriptives.csv,"median_signed_gap, bootstrap_ci_lower, bootstrap_ci_upper, eligible_folds, min/max head decisions","TARGET_2 claude-opus-4.6/failure @ 0.925: gap=0.11604011179651463 CI=[0.08381597138000893,0.17070162991180246] folds=8",transcribe only; no interpolation across thresholds,"NOT_EVALUABLE at TARGET_2/0.975: no occurrence clears the 20-decision minimum (eligible_folds=0); must be drawn as a not-evaluable marker, never as zero"
FIGURE_4_ROBUSTNESS_BOUNDARY,A (SWE thresholds),CLAIM_P; S3,1B,outputs/earlyeval_phase1b_threshold_robustness/analysis/target_threshold_summary.csv ; outputs/earlyeval_phase1b_threshold_robustness/analysis/secondary_descriptives.csv,"median_signed_gap, bootstrap_ci_lower, bootstrap_ci_upper, eligible_folds, min/max head decisions","TARGET_1 gpt-5-mini/success @ 0.95: gap=0.1377462284504496 CI=[0.11754861753608932,0.15985351816199195] folds=9",transcribe only; no interpolation across thresholds,"NOT_EVALUABLE at TARGET_2/0.975: no occurrence clears the 20-decision minimum (eligible_folds=0); must be drawn as a not-evaluable marker, never as zero"
FIGURE_4_ROBUSTNESS_BOUNDARY,A (SWE thresholds),CLAIM_P; S3,1B,outputs/earlyeval_phase1b_threshold_robustness/analysis/target_threshold_summary.csv ; outputs/earlyeval_phase1b_threshold_robustness/analysis/secondary_descriptives.csv,"median_signed_gap, bootstrap_ci_lower, bootstrap_ci_upper, eligible_folds, min/max head decisions","TARGET_2 claude-opus-4.6/failure @ 0.95: gap=0.1107374012181559 CI=[0.05104734793368174,0.14620003871873352] folds=8",transcribe only; no interpolation across thresholds,"NOT_EVALUABLE at TARGET_2/0.975: no occurrence clears the 20-decision minimum (eligible_folds=0); must be drawn as a not-evaluable marker, never as zero"
FIGURE_4_ROBUSTNESS_BOUNDARY,A (SWE thresholds),CLAIM_P; S3,1B,outputs/earlyeval_phase1b_threshold_robustness/analysis/target_threshold_summary.csv ; outputs/earlyeval_phase1b_threshold_robustness/analysis/secondary_descriptives.csv,"median_signed_gap, bootstrap_ci_lower, bootstrap_ci_upper, eligible_folds, min/max head decisions","TARGET_1 gpt-5-mini/success @ 0.975: gap=0.16983431930551485 CI=[0.12742532358923503,0.2143977896483395] folds=9",transcribe only; no interpolation across thresholds,"NOT_EVALUABLE at TARGET_2/0.975: no occurrence clears the 20-decision minimum (eligible_folds=0); must be drawn as a not-evaluable marker, never as zero"
FIGURE_4_ROBUSTNESS_BOUNDARY,A (SWE thresholds),CLAIM_P; S3,1B,outputs/earlyeval_phase1b_threshold_robustness/analysis/target_threshold_summary.csv ; outputs/earlyeval_phase1b_threshold_robustness/analysis/secondary_descriptives.csv,"median_signed_gap, bootstrap_ci_lower, bootstrap_ci_upper, eligible_folds, min/max head decisions","TARGET_2 claude-opus-4.6/failure @ 0.975: gap=NOT_EVALUABLE CI=[NOT_EVALUABLE,NOT_EVALUABLE] folds=0",transcribe only; no interpolation across thresholds,"NOT_EVALUABLE at TARGET_2/0.975: no occurrence clears the 20-decision minimum (eligible_folds=0); must be drawn as a not-evaluable marker, never as zero"
FIGURE_4_ROBUSTNESS_BOUNDARY,B (TerminalBench boundary),S4; S5; CLAIM_P boundary,2E;2B;2B-D,outputs/earlyeval_phase2e_exact_target_cross_benchmark/analysis/target_cross_benchmark.csv ; outputs/earlyeval_phase2b_terminalbench_fixed_scaffold/analysis/per_target_metrics.csv ; outputs/earlyeval_phase2b_terminalbench_fixed_scaffold/analysis/target_signal.json,"decisions, signed_corrected_gap, bootstrap_ci_lower/upper, ci_includes_zero, occurrences_or_tasks, identity","TARGET_1 SWE-bench gpt-5-mini: decisions=1860 gap=0.1377462284504496 CI=[0.11754861753608932,0.15985351816199195] status=PERSISTENT_ON_SWE_BENCH",transcribe only; distinct glyph classes for measured / not-evaluable / not-persistent,0 decisions must never be drawn as a zero gap; the SWE and TB series must carry different glyphs and an explicit benchmark label
FIGURE_4_ROBUSTNESS_BOUNDARY,B (TerminalBench boundary),S4; S5; CLAIM_P boundary,2E;2B;2B-D,outputs/earlyeval_phase2e_exact_target_cross_benchmark/analysis/target_cross_benchmark.csv ; outputs/earlyeval_phase2b_terminalbench_fixed_scaffold/analysis/per_target_metrics.csv ; outputs/earlyeval_phase2b_terminalbench_fixed_scaffold/analysis/target_signal.json,"decisions, signed_corrected_gap, bootstrap_ci_lower/upper, ci_includes_zero, occurrences_or_tasks, identity","TARGET_1 TerminalBench gpt-5-mini@openai: decisions=0 gap=NA CI=[-,-] status=INDETERMINATE",transcribe only; distinct glyph classes for measured / not-evaluable / not-persistent,0 decisions must never be drawn as a zero gap; the SWE and TB series must carry different glyphs and an explicit benchmark label
FIGURE_4_ROBUSTNESS_BOUNDARY,B (TerminalBench boundary),S4; S5; CLAIM_P boundary,2E;2B;2B-D,outputs/earlyeval_phase2e_exact_target_cross_benchmark/analysis/target_cross_benchmark.csv ; outputs/earlyeval_phase2b_terminalbench_fixed_scaffold/analysis/per_target_metrics.csv ; outputs/earlyeval_phase2b_terminalbench_fixed_scaffold/analysis/target_signal.json,"decisions, signed_corrected_gap, bootstrap_ci_lower/upper, ci_includes_zero, occurrences_or_tasks, identity","TARGET_2 SWE-bench claude-opus-4.6: decisions=289 gap=0.1107374012181559 CI=[0.05104734793368174,0.14620003871873352] status=PERSISTENT_ON_SWE_BENCH",transcribe only; distinct glyph classes for measured / not-evaluable / not-persistent,0 decisions must never be drawn as a zero gap; the SWE and TB series must carry different glyphs and an explicit benchmark label
FIGURE_4_ROBUSTNESS_BOUNDARY,B (TerminalBench boundary),S4; S5; CLAIM_P boundary,2E;2B;2B-D,outputs/earlyeval_phase2e_exact_target_cross_benchmark/analysis/target_cross_benchmark.csv ; outputs/earlyeval_phase2b_terminalbench_fixed_scaffold/analysis/per_target_metrics.csv ; outputs/earlyeval_phase2b_terminalbench_fixed_scaffold/analysis/target_signal.json,"decisions, signed_corrected_gap, bootstrap_ci_lower/upper, ci_includes_zero, occurrences_or_tasks, identity","TARGET_2 TerminalBench claude-opus-4-6@anthropic: decisions=45 gap=0.0619669131120315 CI=[-0.1093587649685867,0.2562775723693225] status=NOT_PERSISTENT;UNCLASSIFIED_BY_SPEC_AT_0.950",transcribe only; distinct glyph classes for measured / not-evaluable / not-persistent,0 decisions must never be drawn as a zero gap; the SWE and TB series must carry different glyphs and an explicit benchmark label
