table_id,section,claim_supported,source_phase,source_artifact,source_columns_or_keys,frozen_value,transformation_allowed,notes
TABLE_2_PRIMARY_TARGETS,gpt-5-mini / SUCCESS / bootstrap_95_ci,CLAIM_P; S2; S3,1A;1A-D;1B,outputs/earlyeval_phase1a_d_target_persistence/analysis/bootstrap_results.json,"full_common_support.median_signed_gap[ci_lower,ci_upper]","[0.11681530181196477, 0.15944975771607114]",transcribe only,Phase 1A-D bootstrap intervals are used for the persistence columns; Phase 1B intervals are used only for the threshold column and must not be mixed into them
TABLE_2_PRIMARY_TARGETS,gpt-5-mini / SUCCESS / jackknife_min_abs_median,CLAIM_P; S2; S3,1A;1A-D;1B,outputs/earlyeval_phase1a_d_target_persistence/analysis/partner_jackknife.csv,min(partner_jackknife.median_abs_gap),0.13617040153017057,transcribe only,Phase 1A-D bootstrap intervals are used for the persistence columns; Phase 1B intervals are used only for the threshold column and must not be mixed into them
TABLE_2_PRIMARY_TARGETS,gpt-5-mini / SUCCESS / task_half_A,CLAIM_P; S2; S3,1A;1A-D;1B,outputs/earlyeval_phase1a_d_target_persistence/analysis/task_half_results.csv,task_half_results half=A median,0.11767970623031776,transcribe only,Phase 1A-D bootstrap intervals are used for the persistence columns; Phase 1B intervals are used only for the threshold column and must not be mixed into them
TABLE_2_PRIMARY_TARGETS,gpt-5-mini / SUCCESS / task_half_B,CLAIM_P; S2; S3,1A;1A-D;1B,outputs/earlyeval_phase1a_d_target_persistence/analysis/task_half_results.csv,task_half_results half=B median,0.14894173870245364,transcribe only,Phase 1A-D bootstrap intervals are used for the persistence columns; Phase 1B intervals are used only for the threshold column and must not be mixed into them
TABLE_2_PRIMARY_TARGETS,gpt-5-mini / SUCCESS / threshold_robustness,CLAIM_P; S2; S3,1A;1A-D;1B,outputs/earlyeval_phase1b_threshold_robustness/analysis/target_threshold_summary.csv,THRESHOLD_POINT_ROBUST per threshold,4/4 evaluable thresholds robust (0.9/0.925/0.95/0.975),transcribe only,Phase 1A-D bootstrap intervals are used for the persistence columns; Phase 1B intervals are used only for the threshold column and must not be mixed into them
TABLE_2_PRIMARY_TARGETS,gpt-5-mini / SUCCESS / final_target_status,CLAIM_P; S2; S3,1A;1A-D;1B,outputs/earlyeval_phase1a_same_predictor_transfer/analysis/target_persistence.csv,TARGET_HEAD_PERSISTENT_LARGE_GAP,True (ROBUST),transcribe only,Phase 1A-D bootstrap intervals are used for the persistence columns; Phase 1B intervals are used only for the threshold column and must not be mixed into them
TABLE_2_PRIMARY_TARGETS,claude-opus-4.6 / FAILURE / eligible_same_predictor_occurrences,CLAIM_P; S2; S3,1A;1A-D;1B,outputs/earlyeval_phase1a_same_predictor_transfer/analysis/target_persistence.csv,eligible_occurrences,8,transcribe only,Phase 1A-D bootstrap intervals are used for the persistence columns; Phase 1B intervals are used only for the threshold column and must not be mixed into them
TABLE_2_PRIMARY_TARGETS,claude-opus-4.6 / FAILURE / pair_folds_in_scope,CLAIM_P; S2; S3,1A;1A-D;1B,outputs/earlyeval_phase1a_same_predictor_transfer/analysis/target_persistence.csv,pair_folds_in_scope,9,transcribe only,Phase 1A-D bootstrap intervals are used for the persistence columns; Phase 1B intervals are used only for the threshold column and must not be mixed into them
TABLE_2_PRIMARY_TARGETS,claude-opus-4.6 / FAILURE / excluded_below_decision_minimum,CLAIM_P; S2; S3,1A;1A-D;1B,outputs/earlyeval_phase1a_same_predictor_transfer/analysis/target_persistence.csv,excluded_pairs_below_decision_minimum,1,transcribe only,Phase 1A-D bootstrap intervals are used for the persistence columns; Phase 1B intervals are used only for the threshold column and must not be mixed into them
TABLE_2_PRIMARY_TARGETS,claude-opus-4.6 / FAILURE / excluded_prior_degenerate,CLAIM_P; S2; S3,1A;1A-D;1B,outputs/earlyeval_phase1a_same_predictor_transfer/analysis/target_persistence.csv,excluded_pairs_prior_degenerate,0,transcribe only,Phase 1A-D bootstrap intervals are used for the persistence columns; Phase 1B intervals are used only for the threshold column and must not be mixed into them
TABLE_2_PRIMARY_TARGETS,claude-opus-4.6 / FAILURE / median_corrected_gap,CLAIM_P; S2; S3,1A;1A-D;1B,outputs/earlyeval_phase1a_same_predictor_transfer/analysis/target_persistence.csv,median_signed_corrected_gap,0.11073740121815578,transcribe only,Phase 1A-D bootstrap intervals are used for the persistence columns; Phase 1B intervals are used only for the threshold column and must not be mixed into them
TABLE_2_PRIMARY_TARGETS,claude-opus-4.6 / FAILURE / same_sign_fraction,CLAIM_P; S2; S3,1A;1A-D;1B,outputs/earlyeval_phase1a_same_predictor_transfer/analysis/target_persistence.csv,same_sign_fraction,1.0 (8/8),transcribe only,Phase 1A-D bootstrap intervals are used for the persistence columns; Phase 1B intervals are used only for the threshold column and must not be mixed into them
TABLE_2_PRIMARY_TARGETS,claude-opus-4.6 / FAILURE / bootstrap_95_ci,CLAIM_P; S2; S3,1A;1A-D;1B,outputs/earlyeval_phase1a_d_target_persistence/analysis/bootstrap_results.json,"full_common_support.median_signed_gap[ci_lower,ci_upper]","[0.05100413519648092, 0.14856491377866127]",transcribe only,Phase 1A-D bootstrap intervals are used for the persistence columns; Phase 1B intervals are used only for the threshold column and must not be mixed into them
TABLE_2_PRIMARY_TARGETS,claude-opus-4.6 / FAILURE / jackknife_min_abs_median,CLAIM_P; S2; S3,1A;1A-D;1B,outputs/earlyeval_phase1a_d_target_persistence/analysis/partner_jackknife.csv,min(partner_jackknife.median_abs_gap),0.11039703482593621,transcribe only,Phase 1A-D bootstrap intervals are used for the persistence columns; Phase 1B intervals are used only for the threshold column and must not be mixed into them
TABLE_2_PRIMARY_TARGETS,claude-opus-4.6 / FAILURE / task_half_A,CLAIM_P; S2; S3,1A;1A-D;1B,outputs/earlyeval_phase1a_d_target_persistence/analysis/task_half_results.csv,task_half_results half=A median,0.08688594138784889,transcribe only,Phase 1A-D bootstrap intervals are used for the persistence columns; Phase 1B intervals are used only for the threshold column and must not be mixed into them
TABLE_2_PRIMARY_TARGETS,claude-opus-4.6 / FAILURE / task_half_B,CLAIM_P; S2; S3,1A;1A-D;1B,outputs/earlyeval_phase1a_d_target_persistence/analysis/task_half_results.csv,task_half_results half=B median,0.11354561216502507,transcribe only,Phase 1A-D bootstrap intervals are used for the persistence columns; Phase 1B intervals are used only for the threshold column and must not be mixed into them
TABLE_2_PRIMARY_TARGETS,claude-opus-4.6 / FAILURE / threshold_robustness,CLAIM_P; S2; S3,1A;1A-D;1B,outputs/earlyeval_phase1b_threshold_robustness/analysis/target_threshold_summary.csv,THRESHOLD_POINT_ROBUST per threshold,3/3 evaluable thresholds robust (0.9/0.925/0.95); 0.975 NOT_EVALUABLE (denominator),transcribe only,Phase 1A-D bootstrap intervals are used for the persistence columns; Phase 1B intervals are used only for the threshold column and must not be mixed into them
TABLE_2_PRIMARY_TARGETS,claude-opus-4.6 / FAILURE / final_target_status,CLAIM_P; S2; S3,1A;1A-D;1B,outputs/earlyeval_phase1a_same_predictor_transfer/analysis/target_persistence.csv,TARGET_HEAD_PERSISTENT_LARGE_GAP,True (ROBUST),transcribe only,Phase 1A-D bootstrap intervals are used for the persistence columns; Phase 1B intervals are used only for the threshold column and must not be mixed into them
TABLE_3_TERMINAL_BOUNDARY,A,S4,2B,outputs/earlyeval_phase2b_terminalbench_fixed_scaffold/PHASE2B_REPORT.md,"eligible models, folds completed, usable trajectories",29; 29/29; 15889,transcribe only,
TABLE_3_TERMINAL_BOUNDARY,A,S4,2B-D,outputs/earlyeval_phase2b_d_threshold_diagnostic/PHASE2B_D_REPORT.md,decided rows at 0.950; coverage,3784; 3784/15889 = 0.2382,transcribe only,coverage is a frozen report value
TABLE_3_TERMINAL_BOUNDARY,A,S4,2B,outputs/earlyeval_phase2b_terminalbench_fixed_scaffold/analysis/target_signal.json,per_head.success.median_abs_corrected_gap / eligible_targets,1 eligible success target; median 0.0154,transcribe only,denominator context mandatory
TABLE_3_TERMINAL_BOUNDARY,A,S4,2B,outputs/earlyeval_phase2b_terminalbench_fixed_scaffold/analysis/target_signal.json,per_head.failure.median_abs_corrected_gap / max_abs_corrected_gap / residual_gap_range,27 eligible; 0.0102; 0.1062; 0.1831,transcribe only,
TABLE_3_TERMINAL_BOUNDARY,A,S4,2B,outputs/earlyeval_phase2b_terminalbench_fixed_scaffold/analysis/robust_targets.csv,"model_id, head, corrected_gap, bootstrap CI","gemini-3-pro-preview@gemini failure -0.10622394638739696 CI [-0.1144352871888212,-0.09863977356316646]",transcribe only,single robust row; all other robust-gap rows are zero at 0.950
TABLE_3_TERMINAL_BOUNDARY,A,S4,2B-D,outputs/earlyeval_phase2b_d_threshold_diagnostic/analysis/denominator_summary.csv,"eligible_targets, total_decisions, head_denominator_adequate","0.900: success 11/339 adequate, failure 29/4905 adequate; 0.925: success 3/108 not adequate, failure 29/4383 adequate; 0.950: success 1/20 not adequate, failure 27/3641 adequate",transcribe only,shows the success-head denominator limitation at 0.925 and 0.950
TABLE_3_TERMINAL_BOUNDARY,B,S5 (TARGET_1),2E,outputs/earlyeval_phase2e_exact_target_cross_benchmark/analysis/target_cross_benchmark.csv,"decisions, signed_corrected_gap, bootstrap CI, status",SWE-bench gpt-5-mini: 1860 decisions -> 0.1377462284504496,transcribe only,"for TARGET_1 TerminalBench, the empty gap must be rendered as NA/INDETERMINATE, never as 0"
TABLE_3_TERMINAL_BOUNDARY,B,S5 (TARGET_1),2E,outputs/earlyeval_phase2e_exact_target_cross_benchmark/analysis/target_cross_benchmark.csv,"decisions, signed_corrected_gap, bootstrap CI, status",TerminalBench gpt-5-mini@openai: 0 decisions -> NA,transcribe only,"for TARGET_1 TerminalBench, the empty gap must be rendered as NA/INDETERMINATE, never as 0"
TABLE_3_TERMINAL_BOUNDARY,B,S5 (TARGET_2),2E,outputs/earlyeval_phase2e_exact_target_cross_benchmark/analysis/target_cross_benchmark.csv,"decisions, signed_corrected_gap, bootstrap CI, status",SWE-bench claude-opus-4.6: 289 decisions -> 0.1107374012181559,transcribe only,"for TARGET_1 TerminalBench, the empty gap must be rendered as NA/INDETERMINATE, never as 0"
TABLE_3_TERMINAL_BOUNDARY,B,S5 (TARGET_2),2E,outputs/earlyeval_phase2e_exact_target_cross_benchmark/analysis/target_cross_benchmark.csv,"decisions, signed_corrected_gap, bootstrap CI, status",TerminalBench claude-opus-4-6@anthropic: 45 decisions -> 0.0619669131120315,transcribe only,"for TARGET_1 TerminalBench, the empty gap must be rendered as NA/INDETERMINATE, never as 0"
