claim_id,claim_text,claim_level,supporting_phase,supporting_artifact,observed_fact,interpretation,boundary,main_text_or_appendix
N10,Phase 2B fixed-scaffold result: TERMINAL_TARGET_SPECIFIC_SIGNAL = False and PHASE2B_RESULT = NO_CROSS_BENCHMARK_SIGNAL.,NEGATIVE,2B,earlyeval_phase2b_terminalbench_fixed_scaffold/PHASE2B_REPORT.md,"scaffold terminus-2; 32 raw models 29 eligible 3 ineligible (glm-4.7@z-ai, gpt-5.3-codex@openai, kimi-k2.5@kimi); 29/29 folds 0 failed 4291.5 s; usable trajectories 15889; prefix rows 424413; success head 1 eligible target median abs gap 0.0154 max 0.0154; failure head 27 eligible median 0.0102 max 0.1062 range 0.1831; robust row gemini-3-pro-preview@gemini/failure 23 decisions precision 1.0000 corrected mean 0.8938 gap -0.1062 CI [-0.1144,-0.0986]; 52 adapter failures NO_ACTION_MESSAGES_ZERO_STEPS",The preregistered cross-benchmark gate is not met,one fixed scaffold and one threshold family,main (4.6)
N11,Phase 2B-D threshold/denominator diagnostic: PHASE2B_D_RESULT = NO_CROSS_BENCHMARK_REPLICATION (both readings).,NEGATIVE,2B-D,earlyeval_phase2b_d_threshold_diagnostic/PHASE2B_D_REPORT.md,anchor 0.950 reproduced 15889 rows 3784 decided 0 mismatches max |delta| 0.0; decided 0.900 5351 (446 success / 4905 failure) 0.925 4660 (277/4383) 0.950 3784 (108/3676); eligible success targets 11/3/1; failure 29/29/27; robust rows per threshold 3/2/1; THRESHOLD_SIGNAL True/False/False (1 of 3),The 2B null is not an artifact of the single 0.950 threshold,0.900 branch still yields only one true robustness flag under the primary reading,main (4.6) + appendix
N12,"Phase 2E exact-target audit: OVERALL_RESULT = INSUFFICIENT_CROSS_BENCHMARK_SUPPORT, with TARGET_1 INDETERMINATE (zero TB decisions) and TARGET_2 UNCLASSIFIED_BY_SPEC (not persistent).",BOUNDARY,2E,earlyeval_phase2e_exact_target_cross_benchmark/PHASE2E_REPORT.md,"identity CONFIRMED for both targets; TARGET_1 SWE 1860 decisions precision 0.776882 corrected mean 0.916168 gap +0.137746 CI [0.117549,0.159854] vs TB 0 decisions; TARGET_2 SWE 289 decisions precision 0.854671 corrected mean 0.955299 gap +0.110737 CI [0.051047,0.146200] vs TB 45 decisions precision 0.800000 corrected mean 0.861967 gap +0.061967 CI [-0.109359,0.256278] 14 tasks; secondary descriptives COLLAPSED_ON_TERMINALBENCH at 0.900 and 0.925; deviation 1 recorded",At exact identity the SWE pattern is not established on TerminalBench,zero-decision cell must not be called collapse; TARGET_2 is a recorded deviation,main (4.6)
F01,MISSING/UNSUPPORTED: calibration failure is universal across agents.,FORBIDDEN,1A,earlyeval_phase1a_same_predictor_transfer/PHASE1A_REPORT.md,gate False on both heads (45 and 35 eligible pairs); only two cells persistent,Refuted by the pairwise heterogeneity gate,n/a,do-not-claim
F02,MISSING/UNSUPPORTED: broad same-predictor heterogeneity is established.,FORBIDDEN,1A,earlyeval_phase1a_same_predictor_transfer/PHASE1A_REPORT.md,median pairwise corrected-gap difference 0.018042209495525263 and 0.03851135966145047 with the preregistered criterion False,Directly contradicted by Phase 1A,n/a,do-not-claim
F03,MISSING/UNSUPPORTED: the SWE phenomenon generalizes across benchmarks.,FORBIDDEN,2B;2B-D;2E,earlyeval_phase2e_exact_target_cross_benchmark/PHASE2E_REPORT.md,NO_CROSS_BENCHMARK_SIGNAL; NO_CROSS_BENCHMARK_REPLICATION; INSUFFICIENT_CROSS_BENCHMARK_SUPPORT,Cross-benchmark generalization is recorded as NOT_SUPPORTED,n/a,do-not-claim
F04,MISSING/UNSUPPORTED: the two SWE targets possess intrinsic model-specific calibration defects.,FORBIDDEN,2E,earlyeval_phase2e_exact_target_cross_benchmark/PHASE2E_REPORT.md,no cross-benchmark or cross-context stability established; TARGET_2 unclassified at 0.950,Intrinsic-defect language exceeds the evidence,n/a,do-not-claim
F05,MISSING/UNSUPPORTED: benchmark/environment differences cause the cross-benchmark discrepancy.,FORBIDDEN,2B;2A,earlyeval_phase2b_terminalbench_fixed_scaffold/PHASE2B_REPORT.md,"single fixed scaffold, associational counts only; no benchmark manipulation",No causal component exists in the design,n/a,do-not-claim
F06,MISSING/UNSUPPORTED: scaffold identity causes the discrepancy.,FORBIDDEN,2B;2A,earlyeval_phase2a_terminalbench_coverage/PHASE2A_REPORT.md,"26 scaffolds present 9 usable; scaffold used as a coverage filter (terminus-2 fixed), never as a treatment","Scaffold was a selection filter, not an intervention",n/a,do-not-claim
F07,MISSING/UNSUPPORTED: any internal mechanism explains the phenomenon.,FORBIDDEN,0E;1A,earlyeval_phase0e_prior_shift_decomposition/PHASE0E_REPORT.md,"no interpretability, ablation or interventional analysis in the frozen record; prior shift controlled as an alternative",No mechanistic evidence exists,n/a,do-not-claim
F08,MISSING/UNSUPPORTED: oracle prior correction proves causal independence from outcome prior.,FORBIDDEN,0E,earlyeval_phase0e_prior_shift_decomposition/PHASE0E_REPORT.md,oracle re-weighting of the same observational stop-point probabilities; residual range 0.1650 success / 0.1579 failure,"Removes one compositional explanation, does not identify a cause",n/a,do-not-claim
F09,MISSING/UNSUPPORTED: TerminalBench proves the SWE effect disappears.,FORBIDDEN,2B;2E,earlyeval_phase2e_exact_target_cross_benchmark/PHASE2E_REPORT.md,TARGET_1 TB 0 decisions INDETERMINATE; TARGET_2 TB 45 decisions 14 tasks unclassified at 0.950,Absence of evidence at one scaffold and threshold is not disproof,n/a,do-not-claim
